prov|total|kd
 Aceh|430|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW
 Sumatera Utara|1.023|77S+uRwCQXd1S934ZgWpbFsPrLRFGdEpRJZkUExz3hV9qdg0/h7ppJnx0Q69Rabc
 Sumatera Barat|448|RAzkzgwJN0nYV9p1Z/y1XTGAvzxmPgj7vN51n1jL1rPcDIYQUzXFplzlXfBNEwiB
 Sumatera Selatan|466|IgwVrcwYbvPncjEcnaqGdd+PF+I0kDcUPiwZvh1CwoGOym6k1had6bk1fYkcUl4C
 Riau|518|U3dgZWQhJ1+58e+2tW/j4VFMy3YOtV2RMTcEyDyc/5B5V/KHWcEApOupiIDbU/Dh
 Jambi|258|K8Hq8DeMXbPlsaVvr5nWehFiiY2AdHaz3ogmvIdFxfmvWaHJ0A3ahJWpFr1+E4UM
 Bengkulu|131|rtLgk6nxu2K8QrZxy8Ga4y5gAGm48xJ36/O2j0Z4pPw2l8DXdKK891E+6wVqwt5v
 Lampung|425|fW7zVvA71umLb6i5XqRQPZ5tCQ9073Qn2f38AplfcI6bRDjyXM/GzkoR38okPGqd
 DKI Jakarta|923|yTI9hO1KMl1BbYPkY9VvhU3Wo3YN7vZSkKdKY56BdUt4++rjMkBl41TbMrjJXrJn
 Jawa Barat|4.443|MHrNjSvwIaWwzwz6KT3dlguiHTW9na89B+55iDWZk98U82vhydhX8wAm88Pq0RV9
 Jawa Tengah|2.752|E65SFTLf/A7JiLJ1wXl8gIg+YwhvS//4+8YWQXm/OKZxhO16ZMIPDyurbkpYRDQI
 Jawa Timur|2.747|CCqkmxGyWAyFdx8nrs+lr5S2lZ0oHHeC/tOSxEEig6Zhokvi8LvWnq6Cdp9xg6ne
 Daerah Istimewa Yogyakarta|592|B7H4MHRAHpo7uH3q/LrTjsb+46oeL3rUpkda9IZZCoO3tGh3o0eSTO0r6/dHD1QH
 Kalimantan Barat|306|p8NEh3l6Y/Px8D1deap6At6ZXTTjg9P0qlr/ZeXHSWiWbPOL/WoqNC9G6hEFWd+5
 Kalimantan Tengah|163|1PNaaqgdHo8C4CPIsKHeyQ6eUt8pBsHtf7sE1/HWLLGeAPiMDY4DqxpLrjCxEYwr
 Kalimantan Timur|359|FtKvowRNSe7VzErovR68Z6My+vukIvicH6jXCnLQZIZAD4AASVeX8kKxF5hS29g8
 Kalimantan Selatan|268|3vdlYvnShyjLRM4D/EhVj7lOIyVc6mGAZ2z+zsq6E+juQ+vycYX7zacBgfIpchy9
 Sulawesi Utara|274|6n4sRr3OB0JTz3SNkzYxco51ncgCo7NvVqCmm5FFed4SGUqkxGb0I04S5gYXIKgX
 Sulawesi Tengah|134|1XOZRS6OjJfrSvSHXEFgiLlz/du/xXiGmZubSqf4JzIMorcvdXBmYCwrH9vulQQ+
 Sulawesi Selatan|676|y3eCXThqGaOlmTZX9JZnaXG8T3G9FHLJyErtDurvjFaDq9awpfdd7mqK/U74gE6c
 Sulawesi Tenggara|176|ghRwbsDYOFplBtA8jEis5cvEOfVCAlTlcH6I2jNWe/U07BKkQy6VIgNnRcz21lHK
 Bali|807|hBuX23vtSf0RmU7Pn/qYLrE7g2Q5gYbEcIJM1zy2S8y7LUbIsZULm+rxtNzOZDbX
 Nusa Tenggara Barat|287|AlZePWd3MwavbgAQbiTjPDKa1j8DO8marrgOJxTkVG1r3FniVSoIbP5G0z3xsIFI
 Nusa Tenggara Timur|154|aVvfw6MrgK9eXAXnXgXo9Dr7M7xXXGSnLHH/r2SaZl6ttk3LI/A8+ejITQ5SihaM
 Maluku|61|7EmSOaQ4TP1y5F55giCb+olZedUfEl0q/L7T590Upp1n798aAHwNezMl1KqerXfn
 Papua|71|s5YKu6Al9xZw8ezHoYLelbFM3h4P6zboXnQpljo7hTyMn7KY8thOj6VbIS8Gozbt
 Maluku Utara|61|GS+Cj2AJkiNrsJhml0JB0yop3LfLEv6/n5+ywDm0c8OKsDw3n0knO11R6pH5Q44S
 Banten|1.483|mC8LTN6RRWa+r72nIcdzi5htEIIGwf/QUa9QfV5Hq5pSLx3x8xEIAarvRnfKRzff
 Kepulauan Bangka Belitung|94|ECVbdZAKX3jzqiBn2KxBDIbqROHqZvxvKUUuWXVecuc7vTx7Rp0PyICiN7f3FC7+
 Gorontalo|103|i3JV0cQ2IH8jzr/V6A1qduwvmxw2kCcYJ/kj4e0E8zkyY2CK6cVawQbrqVQRr33A
 Sulawesi Barat|85|VxvZD5lKzp45We/NQulDcba6lYm/3eHGqSWiH9UyT85lErUJL6LbWGJtV0A2muEP
 Kepulauan Riau|237|hYrPwfiFs5YA4bkpIeR5IwHqHVQfpwwdiaARktE4FoQT0JGjqvkqn+CTIG4R2XaB
 Papua Barat|60|ucgsHo0X9dnAAJlURYtClv+IUS45JARc/fKTwn64QxyGiim7f7HkeNObcmylR/zJ
